year,competition,location,event_label,boat_class,gender,distance_m,rank,athlete,country,time_raw,time_seconds,pct_gap_winner,pct_gap_K1H_ref
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,1,Csizmadia Kolos Attila,HUN,34.29,34.29,0.0,0.0
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,2,DI LIBERTO Andrea Domenico,ITA,34.54,34.54,0.729,0.729
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,3,KAVELASHVILI Badri,GEO,34.64,34.64,1.021,1.021
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,4,DRAGOSAVLJEVIC Strahinja,SRB,34.74,34.74,1.312,1.312
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,5,SEJA Arturas,LTU,34.83,34.83,1.575,1.575
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,6,MATVEEV Nicholas,CAN,35.25,35.25,2.8,2.8
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,7,EIDE Gunnar Nydal,NOR,35.26,35.26,2.829,2.829
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,7,PIKON Anze,SLO,35.26,35.26,2.829,2.829
2025,WCh,"Milan, ITA",K1 men 200 m,K1,H,200,9,AKMENS Roberts,LAT,35.28,35.28,2.887,2.887
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,1,Wang Nan,CHN,41.46,41.46,0.0,20.91
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,2,OSTERMAN Anja,SLO,41.61,41.61,0.362,21.347
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,3,LEWIS Emily,GBR,41.66,41.66,0.482,21.493
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,4,Iversen Bolette Nyvang,DEN,41.71,41.71,0.603,21.639
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,5,DYACHENKO Ivanna,UKR,41.89,41.89,1.037,22.164
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,6,OLSZEWSKA Julia,POL,42.10,42.1,1.544,22.776
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,7,Dolgova Anastasiia,AIN,42.35,42.35,2.147,23.505
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,8,BESHARAH Toshka,CAN,42.48,42.48,2.46,23.885
2025,WCh,"Milan, ITA",K1 women 200 m,K1,F,200,9,LAGERSTAM Julia,SWE,42.49,42.49,2.484,23.914
2025,WCh,"Milan, ITA",K1 men 500 m,K1,H,500,1,DOSTAL Josef,CZE,1:38.43,98.43,0.0,0.0
2025,WCh,"Milan, ITA",K1 men 500 m,K1,H,500,2,VARGA ÃdÃ¡m,HUN,1:38.52,98.52,0.091,0.091
2025,WCh,"Milan, ITA",K1 men 500 m,K1,H,500,3,GRANERI Alex,ESP,1:39.05,99.05,0.63,0.63
2025,WCh,"Milan, ITA",K1 men 500 m,K1,H,500,4,Pimenta Fernando,POR,1:39.71,99.71,1.3,1.3
2025,WCh,"Milan, ITA",K1 men 500 m,K1,H,500,5,LIEBSCHER-LUCZ Tom,GER,1:39.93,99.93,1.524,1.524
2025,WCh,"Milan, ITA",K1 men 500 m,K1,H,500,6,RASK Thorbjorn,DEN,1:40.13,100.13,1.727,1.727
2025,WCh,"Milan, ITA",K1 men 500 m,K1,H,500,7,SPESIVTSEV Maxim,AIN,1:40.51,100.51,2.113,2.113
2025,WCh,"Milan, ITA",K1 men 500 m,K1,H,500,8,ZHANG Dong,CHN,1:40.85,100.85,2.459,2.459
